Version,Codename,Semester,Marketing name,Build,Release date,Supported until (and support status by color),Extra_8,Extra_9,Extra_10
,,,,,,,,,
,,,,,,,,,
1507,Threshold,—,10240,"July 29, 2015","May 9, 2017","October 14, 2025[d]",—,—,
1511,Threshold 2,November Update,10586,"November 10, 2015","October 10, 2017","April 10, 2018[e]",—,"January 9, 2018",
1607,Redstone,Anniversary Update,14393,"August 2, 2016","April 10, 2018[f]","April 9, 2019[f]","October 13, 2026[g]","October 9, 2018",
1703,Redstone 2,Creators Update,15063,"April 5, 2017[h]","October 9, 2018","October 8, 2019[i]",—,"June 11, 2019",
1709,Redstone 3,Fall Creators Update,16299[j],"October 17, 2017","April 9, 2019","October 13, 2020[k]","January 14, 2020",,
1803,Redstone 4,April 2018 Update,17134,"April 30, 2018","November 12, 2019","May 11, 2021[l]",—,,
1809,Redstone 5,October 2018 Update,17763,"November 13, 2018[m]","November 10, 2020[n]","January 9, 2029[o]",,,
1903,19H1,Titanium R1,May 2019 Update,18362,"May 21, 2019","December 8, 2020",—,,
1909,19H2,Titanium R2[p],November 2019 Update,18363,"November 12, 2019","May 11, 2021","May 10, 2022",,
2004,20H1,Vibranium R1,May 2020 Update,19041,"May 27, 2020","December 14, 2021",,,
20H2,20H2,Vibranium R2,October 2020 Update,19042,"October 20, 2020","May 10, 2022","May 9, 2023",,
21H1,21H1,Vibranium R3,May 2021 Update,19043,"May 18, 2021","December 13, 2022",,,
21H2,21H2,Vibranium R4,November 2021 Update,19044,"November 16, 2021","June 13, 2023","June 11, 2024","January 12, 2027","January 13, 2032[q]"
22H2,22H2,Vibranium R5,2022 Update,19045,"October 18, 2022","October 14, 2025",—,"October 13, 2026","October 10, 2028"
"Legend:   Unsupported version[r]   Old version, still maintained[s]   Latest version[t]",,,,,,,,,
show,,,,,,,,,
